id,observed_on,user_id,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name,field:eventid,field:field id,field:bin
9488729,5/23/2016,175394,needs_id,https://www.inaturalist.org/observations/9488729,https://static.inaturalist.org/photos/12919980/medium.jpg?1516065130,"brown grasshopper, check out eyes
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",0,0,-21.254069,47.421911,Chirista compta,Chirista compta,,Insecta,627709,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Chirista,Chirista compta,,CVB_01,XMAD_013,
9488731,5/23/2016,175394,needs_id,https://www.inaturalist.org/observations/9488731,https://static.inaturalist.org/photos/12920020/medium.jpg?1516065274,"katydid, one shorter antennae
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Sichelschrecken,Phaneropterinae,Leaf Katydids,Insecta,48128,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,,,,CVB_01,XMAD_014,BOLD:ADH8269
9488732,5/23/2016,175394,needs_id,https://www.inaturalist.org/observations/9488732,https://static.inaturalist.org/photos/12920037/medium.jpg?1516065373,"Linus, blanket lover
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",3,0,-21.254069,47.421911,Oryctini,Oryctini,,Insecta,424298,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,,,,CVB_01,XMAD_015,BOLD:ACT8101
9488733,5/23/2016,175394,needs_id,https://www.inaturalist.org/observations/9488733,https://static.inaturalist.org/photos/12920133/medium.jpg?1516065724,"male moth, yellow body
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",0,0,-21.254069,47.421911,Racotis,Racotis,,Insecta,243470,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Racotis,,,CVB_01,XMAD_016,BOLD:AAP2024
9488734,5/24/2016,175394,research,https://www.inaturalist.org/observations/9488734,https://static.inaturalist.org/photos/12920153/medium.jpg?1516065800,"gecko
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",2,0,-21.254069,47.421911,Hemidactylus mercatorius,Hemidactylus mercatorius,Farquhar Half-toed Gecko,Reptilia,34477,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus mercatorius,,CVB_02,XMAD_017,BOLD:ADH8315
9488736,5/24/2016,175394,needs_id,https://www.inaturalist.org/observations/9488736,https://static.inaturalist.org/photos/12920181/medium.jpg?1516065962,"small black juvenile
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",2,0,-21.254069,47.421911,Calumma,Calumma,,Reptilia,32886,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Calumma,,,CVB_02,XMAD_018,
9488738,5/24/2016,175394,needs_id,https://www.inaturalist.org/observations/9488738,https://static.inaturalist.org/photos/12920194/medium.jpg?1516066016,"black beetle
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Eumolpinae,Eumolpinae,,Insecta,357454,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,,,CVB_02,XMAD_019,BOLD:ADI1214
9488739,5/24/2016,175394,needs_id,https://www.inaturalist.org/observations/9488739,https://static.inaturalist.org/photos/12920206/medium.jpg?1516066066,"leafhopper
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",3,1,-21.254069,47.421911,Delphacid Planthoppers,Delphacidae,Delphacid Planthoppers,Insecta,123608,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,,,,CVB_02,XMAD_020,BOLD:ADI0624
9488740,5/24/2016,175394,research,https://www.inaturalist.org/observations/9488740,https://static.inaturalist.org/photos/12920242/medium.jpg?1516066178,"moth fly
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Bathroom Moth Midge,Clogmia albipunctata,Bathroom Moth Fly,Insecta,258813,Animalia,Arthropoda,Insecta,Diptera,Psychodidae,Clogmia,Clogmia albipunctata,,CVB_02,XMAD_021,BOLD:AAF9305
9488742,5/24/2016,175394,needs_id,https://www.inaturalist.org/observations/9488742,https://static.inaturalist.org/photos/12920269/medium.jpg?1516066256,"caterpillar, green with long hairs
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",0,0,-21.254069,47.421911,Pterophoridae,Pterophoridae,Plume Moths,Insecta,47404,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,,,,CVB_02,XMAD_022,BOLD:ACT6265
