Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
United States,USA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,31896.6726049403,32543.6785224232,33629.5583475138,35553.4548572024,37570.5706080923,39758.7519186047,40523.9246673858,40068.1541146887,39044.6403367498,41003.0796955054,42635.9254037922,44736.3414864788,45675.5239464649,47714.8778599281,49199.6628461449,49634.9847657103,51309.0408053664,53497.2922694808,..,..
Madagascar,MDG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,304.805789753982,287.467351174442,335.136744987732,258.414663971477,286.689538632737,302.018698421204,393.956556470995,479.720387433151,403.712207958879,402.625440140687,452.528338116318,432.728887919973,448.752775036645,440.743038112518,382.796876894216,393.495242783059,436.214420709731,442.958062692618,..,..
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/19/2021,,,,,,,,,,,,,,,,,,,,,,,
