id,observed_on,user_id,quality_grade,url,image_url,description,place_guess,latitude,longitude,geoprivacy,taxon_geoprivacy,coordinates_obscured,scientific_name,common_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
32299,2011-02-06,2887,research,http://www.inaturalist.org/observations/32299,https://static.inaturalist.org/photos/55700/medium.JPG,"Gephyromantis luteus found in bamboo forest next to popular tourist trail in Ranomafana National Park, Madagascar. Location estimated.","Ranomafana National Park, Madagascar",-21.2704994035,47.4022293091,,,false,Gephyromantis luteus,,Animalia,Chordata,Amphibia,Anura,Mantellidae,Gephyromantis,Gephyromantis luteus,
32301,2011-02-06,2887,research,http://www.inaturalist.org/observations/32301,https://static.inaturalist.org/photos/55702/medium.JPG?1401928757,"Gephyromantis tschenki in Ranomafana National Park, Madagascar. Location estimated.","Vatovavy Fitovinany, MG-FI, MG",-21.3603828732,47.3684425766,obscured,,true,Gephyromantis tschenki,Tschenk's Madagascar Frog,Animalia,Chordata,Amphibia,Anura,Mantellidae,Gephyromantis,Gephyromantis tschenki,
32303,2011-02-06,2887,research,http://www.inaturalist.org/observations/32303,https://static.inaturalist.org/photos/55705/medium.JPG?1401928765,"This is a frog species in the Mantidactylus biporus complex, found in Ranomafana National Park. This individual was in a shallow, rocky, slow-moving stream. Location approximate.","Fianarantsoa, MG",-21.3628548503,47.3499283811,obscured,,true,Mantidactylus biporus,,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantidactylus,Mantidactylus biporus,
32304,2011-02-06,2887,needs_id,http://www.inaturalist.org/observations/32304,https://static.inaturalist.org/photos/55706/medium.JPG?1401928773,"A very large species of frog in the Mantidactylus femoralis complex, found in Ranomafana National Park near a stream. Location approximate.","Fianarantsoa, MG",-21.268775734,47.2123897722,obscured,,true,Mantidactylus femoralis,Fort Madagascar Frog,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantidactylus,Mantidactylus femoralis,
32305,2011-02-06,2887,needs_id,http://www.inaturalist.org/observations/32305,https://static.inaturalist.org/photos/55707/medium.JPG?1401928780,"Found at the bridge towards Vohiparara, near Ranomafana National Park, Madagascar. Location estimated.","Fianarantsoa, MG",-21.1400684049,47.3709706979,obscured,,true,Mantidactylus lugubris,Dumeril's Madagascar Frog,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantidactylus,Mantidactylus lugubris,
32307,2011-02-06,2887,research,http://www.inaturalist.org/observations/32307,https://static.inaturalist.org/photos/55708/medium.JPG?1401928789,Mantella madagascariensis from the population near Ranomafana National Park (bridge towards Vohiparara) which occurs sympatrically with M. baroni. Location estimated.,"Fianarantsoa, MG",-21.157062114,47.2277454961,obscured,obscured,true,Mantella madagascariensis,Madagascan Mantella,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,Mantella madagascariensis,
32308,2011-02-06,2887,research,http://www.inaturalist.org/observations/32308,https://static.inaturalist.org/photos/55709/medium.JPG?1401928796,"Spinomantis fimbriatus, found asleep on a moss-covered tree trunk in Ranomafana National Park, Madagascar. Location estimated.","Fianarantsoa, MG",-21.2663856044,47.2068977956,obscured,,true,Spinomantis fimbriatus,,Animalia,Chordata,Amphibia,Anura,Mantellidae,Spinomantis,Spinomantis fimbriatus,
33704,2007-01-14,2887,needs_id,http://www.inaturalist.org/observations/33704,https://static.inaturalist.org/photos/57350/medium.JPG?1401929973,"Found in the village of Ranomafana near the park, calling at night along the stream.","Vatovavy Fitovinany, MG-FI, MG",-21.2949069088,47.5638050875,obscured,,true,Boophis,Bright-eyed Frogs,Animalia,Chordata,Amphibia,Anura,Mantellidae,Boophis,,
33707,2007-01-13,2887,research,http://www.inaturalist.org/observations/33707,https://static.inaturalist.org/photos/57353/medium.JPG?1401929995,"Mantella bernhardi found during the day on the border of Ranomafana National Park. An hour of searching turned up only one individual, but others were heard calling in the area.","Vatovavy Fitovinany, MG-FI, MG",-21.502465657,47.5792535088,obscured,obscured,true,Mantella bernhardi,Bernhard's Mantella,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,Mantella bernhardi,
34690,2010-12-05,3184,needs_id,http://www.inaturalist.org/observations/34690,https://static.inaturalist.org/photos/58951/medium.jpg,Leapt on to tripod at night from unseen starting point.,"Vohiparara, Ranomafana National Park",-21.2368583987,47.3938071728,,,false,Boophis reticulatus,Reticulate Bright-eyed Frog,Animalia,Chordata,Amphibia,Anura,Mantellidae,Boophis,Boophis reticulatus,
